VCF-ID	ID	POP	LAT	LONG	SP	DATE
QC2MON01.02.mapped.sorted.concordant	QC2MON01.02	Deux-Montagnes	45,5322	-73,89249	nigrum	2022-09-13
QC2MON01.03.mapped.sorted.concordant	QC2MON01.03	Deux-Montagnes	45,53232	-73,89262	nigrum	2022-09-13
QC2MON01.04.mapped.sorted.concordant	QC2MON01.04	Deux-Montagnes	45,53252	-73,89272	nigrum	2022-09-13
QC2MON01.05.mapped.sorted.concordant	QC2MON01.05	Deux-Montagnes	45,53249	-73,89251	nigrum	2022-09-13
QC2MON01.06.mapped.sorted.concordant	QC2MON01.06	Deux-Montagnes	45,53263	-73,89233	nigrum	2022-09-13
QC2MON01.07.mapped.sorted.concordant	QC2MON01.07	Deux-Montagnes	45,53271	-73,89223	nigrum	2022-09-13
QC2MON01.08.mapped.sorted.concordant	QC2MON01.08	Deux-Montagnes	45,53245	-73,89215	nigrum	2022-09-13
QC2MON01.09.mapped.sorted.concordant	QC2MON01.09	Deux-Montagnes	45,5325	-73,89201	nigrum	2022-09-13
QC2MON01.10.mapped.sorted.concordant	QC2MON01.10	Deux-Montagnes	45,53239	-73,89196	nigrum	2022-09-13
QC2MON01.11.mapped.sorted.concordant	QC2MON01.11	Deux-Montagnes	45,53231	-73,89191	nigrum	2022-09-13
QC2MON01.12.mapped.sorted.concordant	QC2MON01.12	Deux-Montagnes	45,5323	-73,89188	nigrum	2022-09-13
QC2MON01.13.mapped.sorted.concordant	QC2MON01.13	Deux-Montagnes	45,53227	-73,89191	nigrum	2022-09-14
QC2MON01.14.mapped.sorted.concordant	QC2MON01.14	Deux-Montagnes	45,53235	-73,89192	nigrum	2022-09-14
QC2MON01.15.mapped.sorted.concordant	QC2MON01.15	Deux-Montagnes	45,53234	-73,89163	nigrum	2022-09-14
QCANLA01.02.mapped.sorted.concordant	QCANLA01.02	Sainte-Anne-du-Lac	46,77	-75,46099	saccharum	2018-06-27
QCANLA01.03.mapped.sorted.concordant	QCANLA01.03	Sainte-Anne-du-Lac	46,77	-75,46099	saccharum	2018-06-27
QCANLA01.04.mapped.sorted.concordant	QCANLA01.04	Sainte-Anne-du-Lac	46,77	-75,46099	saccharum	2018-06-27
QCANLA01.05.mapped.sorted.concordant	QCANLA01.05	Sainte-Anne-du-Lac	46,77	-75,46099	saccharum	2018-06-27
QCFJSA02.04.mapped.sorted.concordant	QCFJSA02.04	Fjord-Saguenay	48,1327987	-70,07827758	saccharum	2018-07-28
QCFJSA02.05.mapped.sorted.concordant	QCFJSA02.05	Fjord-Saguenay	48,1327987	-70,07827758	saccharum	2018-07-28
QCFJSA02.06.mapped.sorted.concordant	QCFJSA02.06	Fjord-Saguenay	48,1327987	-70,07827758	saccharum	2018-07-28
QCFJSA02.07.mapped.sorted.concordant	QCFJSA02.07	Fjord-Saguenay	48,1327987	-70,07827758	saccharum	2018-07-28
QCPAPI01.01B.mapped.sorted.concordant	QCPAPI01.01B	Fasset 1	45,68242	-74,854333	nigrum	#N/A
QCPAPI01.02B.mapped.sorted.concordant	QCPAPI01.02B	Fasset 1	45,682273	-74,854429	nigrum	#N/A
QCPAPI01.03B.mapped.sorted.concordant	QCPAPI01.03B	Fasset 1	45,682046	-74,854468	nigrum	#N/A
QCPAPI01.04B.mapped.sorted.concordant	QCPAPI01.04B	Fasset 1	45,681846	-74,854558	nigrum	#N/A
QCPAPI01.05B.mapped.sorted.concordant	QCPAPI01.05B	Fasset 1	45,68175	-74,85476	nigrum	#N/A
QCPAPI01.06.mapped.sorted.concordant	QCPAPI01.06	Fasset 1	45,681641	-74,854538	nigrum	2021-06-22
QCPAPI01.07.mapped.sorted.concordant	QCPAPI01.07	Fasset 1	45,681546	-74,854329	nigrum	2021-06-22
QCPAPI01.08.mapped.sorted.concordant	QCPAPI01.08	Fasset 1	45,681917	-74,85426	nigrum	2021-06-22
QCPAPI01.09.mapped.sorted.concordant	QCPAPI01.09	Fasset 1	45,681951	-74,854093	nigrum	2021-06-22
QCPAPI01.10.mapped.sorted.concordant	QCPAPI01.10	Fasset 1	45,682189	-74,853936	nigrum	2021-06-22
QCPAPI01.11.mapped.sorted.concordant	QCPAPI01.11	Fasset 1	45,682396	-74,853983	nigrum	2021-06-22
QCPAPI01.12.mapped.sorted.concordant	QCPAPI01.12	Fasset 1	45,682762	-74,853894	nigrum	2021-06-22
QCPAPI01.13.mapped.sorted.concordant	QCPAPI01.13	Fasset 1	45,682974	-74,853723	nigrum	2021-06-22
QCPAPI01.14.mapped.sorted.concordant	QCPAPI01.14	Fasset 1	45,683185	-74,853796	nigrum	2021-06-22
QCPAPI01.15.mapped.sorted.concordant	QCPAPI01.15	Fasset 1	45,683515	-74,853803	nigrum	2021-06-22
QCPAPI01.16.mapped.sorted.concordant	QCPAPI01.16	Fasset 1	45,683691	-74,85347	nigrum	2021-06-22
QCPAPI01.17.mapped.sorted.concordant	QCPAPI01.17	Fasset 1	45,683329	-74,853888	nigrum	2021-06-22
QCPAPI01.18.mapped.sorted.concordant	QCPAPI01.18	Fasset 1	45,683071	-74,853956	nigrum	2021-06-22
QCPAPI01.19.mapped.sorted.concordant	QCPAPI01.19	Fasset 1	45,682884	-74,854097	nigrum	2021-06-22
QCPAPI01.20.mapped.sorted.concordant	QCPAPI01.20	Fasset 1	45,68259	-74,854343	nigrum	2021-06-22
QCPAPI02.01.mapped.sorted.concordant	QCPAPI02.01	Fasset 2	45,682726	-74,85281	saccharum	2021-06-22
QCPAPI02.02.mapped.sorted.concordant	QCPAPI02.02	Fasset 2	45,682897	-74,852691	saccharum	2021-06-22
